Casenew,MCZ_1,MCZ_2,MCZ_8,MCZ_10,MCZ_17,QHealthr,RSEX,AGEXr,Martstat3r,HighEd4r,GorA
3149,2,4,4,4,6,3,2,4,3,4,1
3151,10,8,10,10,9,1,2,2,1,1,6
3152,8,8,9,9,6,1,2,2,1,1,11
3160,8,10,9,5,10,2,2,4,3,4,3
3160,10,10,10,8,9,1,2,2,1,1,2
3162,5,8,5,3,10,1,2,3,3,2,6
3166,8,8,8,8,9,1,2,6,3,4,10
3168,7,8,8,7,7,1,1,2,1,2,6
3177,4,10,5,5,5,4,2,4,3,2,8
3194,7,9,7,7,5,2,1,3,3,1,5
3197,9,10,6,7,8,2,2,3,2,1,3
3199,2,5,3,8,4,3,2,3,3,2,8
3211,8,9,8,8,10,1,1,2,2,2,8
3220,10,10,10,10,10,1,1,4,1,2,8
3247,8,8,9,9,9,2,1,4,1,2,7
3277,8,8,4,4,10,3,2,3,3,1,5
3284,8,9,10,10,10,2,1,5,1,2,8
3286,10,7,8,8,8,1,2,4,1,2,6
3293,8,9,10,6,7,1,1,3,1,2,2
3295,8,9,7,10,5,2,2,3,1,1,7
3296,2,3,10,10,9,4,2,6,3,4,3
3305,9,10,10,10,10,1,2,3,2,3,8
3308,8,8,10,8,4,1,2,2,1,2,6
3322,4,6,2,5,2,4,2,3,2,4,11
3331,8,10,8,5,6,2,1,3,1,2,2
3345,8,10,10,6,10,1,2,4,3,4,9
3349,8,8,7,5,8,2,2,2,1,1,7
3349,9,9,9,5,7,1,1,2,1,1,2
3355,8,7,9,6,10,1,1,3,3,1,11
3357,8,8,8,10,7,3,2,6,3,2,11
3358,7,8,8,5,5,5,2,4,3,4,1
3375,7,7,7,7,3,1,1,3,1,1,11
3378,8,8,10,10,10,1,1,2,1,2,2
3382,7,8,6,4,7,2,1,5,3,1,8
3387,9,8,7,8,10,1,1,5,1,2,9
3389,4,4,1,2,1,3,2,4,2,2,9
3391,7,7,8,7,7,1,1,2,3,1,8
3392,9,9,10,9,6,3,2,5,3,4,6
3395,9,9,8,8,2,3,2,6,3,4,3
3401,10,10,10,10,9,1,2,2,1,1,7
3403,5,6,9,5,9,1,2,2,2,1,9
3404,8,8,8,7,7,1,1,3,1,2,9
3406,8,8,7,9,7,1,1,3,1,2,1
3416,5,7,3,2,9,3,1,4,1,2,2
3422,6,99,6,7,6,2,1,4,2,4,9
3430,9,8,9,8,6,1,2,2,1,3,6
3431,8,10,10,10,3,2,2,5,3,4,4
3448,7,7,8,6,7,3,1,1,2,2,1
3452,10,10,10,7,7,3,2,2,2,4,5
3460,8,7,7,8,8,1,2,6,3,4,3
3476,5,9,6,7,9,4,2,5,3,4,2
3481,8,8,10,6,10,2,1,1,2,1,11
3507,9,9,9,10,10,2,1,4,2,3,7
3512,8,8,9,8,10,1,1,2,1,3,4
3514,9,9,8,5,9,2,1,2,1,1,8
3521,5,5,8,8,10,2,1,6,3,2,4
3528,10,10,8,9,9,1,2,2,1,1,8
3531,7,5,7,4,6,2,2,2,3,1,5
3543,8,5,9,5,7,2,1,3,3,4,11
3545,7,7,7,7,8,1,1,2,1,3,9
3547,8,8,8,6,7,2,2,4,3,2,8
3551,10,10,10,10,10,1,2,3,1,1,3
3553,8,8,8,7,10,1,1,2,1,2,6
3554,7,8,3,5,3,1,2,2,2,3,7
3571,3,6,9,7,8,3,1,5,3,1,4
3572,8,8,10,7,9,1,2,3,3,2,7
3579,10,10,10,7,10,2,2,5,1,2,4
3586,9,9,9,10,9,1,1,2,1,1,10
3608,0,9,10,5,10,2,1,5,3,2,2
3622,8,10,10,10,10,2,2,1,2,2,2
3639,7,8,8,6,7,2,1,2,1,2,9
3652,7,4,10,2,8,1,1,2,2,1,11
3664,10,9,7,8,9,3,2,5,1,4,10
3684,10,10,10,10,10,1,2,3,1,4,11
3700,0,0,8,0,8,5,2,5,3,4,6
3714,8,6,5,7,7,2,2,5,1,4,7
3743,9,9,9,7,10,1,1,4,1,1,5
3753,10,9,5,10,8,2,2,3,1,3,7
3776,10,10,10,8,8,3,2,5,3,4,11
3783,9,9,9,9,9,1,2,5,1,1,6
3788,8,8,7,7,7,1,2,3,1,2,4
3801,7,7,8,5,8,1,2,3,3,2,9
3807,10,10,10,8,10,1,2,2,1,1,8
3808,5,5,9,8,9,3,1,6,3,4,2
3819,8,8,9,8,7,1,1,5,1,2,8
3824,7,7,8,7,10,2,1,6,1,4,1
3829,8,8,9,9,10,2,1,2,1,1,11
3834,6,10,6,3,5,2,1,2,1,2,6
3836,8,8,9,8,9,1,2,4,1,2,6
